category,item,description,runtime_location,required,status,source_type,source_doc,printed_page,pdf_page,table_or_section,method_id,notes
plan_meta,plan_name,Plan identifier,plan_config.json:plan_name,required,,,,,,,,
plan_meta,plan_description,Human-readable plan name,plan_config.json:plan_description,required,,,,,,,,
plan_meta,data_dir,Path to plan data directory,plan_config.json:data.data_dir,required,,,runtime-only,,,,,
economic,dr_current,Discount rate for current/legacy members,plan_config.json:economic.dr_current,required,,,,,,,,
economic,dr_new,Discount rate for new entrants,plan_config.json:economic.dr_new,required,,,,,,,,
economic,dr_old,Legacy discount rate (often equal to dr_current),plan_config.json:economic.dr_old,required,,,,,,,,
economic,payroll_growth,Long-term payroll growth assumption,plan_config.json:economic.payroll_growth,required,,,,,,,,
economic,pop_growth,Population growth assumption,plan_config.json:economic.pop_growth,optional,,,,,,,,
economic,inflation,Long-term inflation assumption,plan_config.json:economic.inflation,required,,,,,,,,
economic,model_return,Modeled investment return assumption,plan_config.json:economic.model_return,required,,,,,,,,
ranges,min_age,Minimum age in cohort grid,plan_config.json:ranges.min_age,required,,,runtime-only,,,,,
ranges,max_age,Maximum age in cohort grid,plan_config.json:ranges.max_age,required,,,runtime-only,,,,,
ranges,start_year,First projection year (typically AV valuation year),plan_config.json:ranges.start_year,required,,,,,,,,
ranges,new_year,First year for new-entrant tier,plan_config.json:ranges.new_year,required,,,runtime-only,,,,,
ranges,min_entry_year,Earliest entry year represented,plan_config.json:ranges.min_entry_year,required,,,runtime-only,,,,,
ranges,model_period,Number of projection years,plan_config.json:ranges.model_period,required,,,runtime-only,,,,,
ranges,max_yos,Maximum years of service in grid,plan_config.json:ranges.max_yos,required,,,runtime-only,,,,,
benefit,db_ee_cont_rate,Employee contribution rate (DB),plan_config.json:benefit.db_ee_cont_rate,required,,,,,,,,
benefit,db_ee_interest_rate,Interest rate credited on employee contributions,plan_config.json:benefit.db_ee_interest_rate,required,,,,,,,,
benefit,fas_years_default,FAS averaging years (non-grandfathered),plan_config.json:benefit.fas_years_default,required,,,,,,,,
benefit,fas_years_grandfathered,FAS averaging years (grandfathered),plan_config.json:benefit.fas_years_grandfathered,conditional,,,,,,,,
benefit,min_benefit_monthly,Statutory minimum monthly benefit,plan_config.json:benefit.min_benefit_monthly,optional,,,,,,,,
benefit,benefit_types,List of benefit types in plan (db/cb/dc),plan_config.json:benefit.benefit_types,required,,,,,,,,
benefit,retire_refund_ratio,Refund-vs-annuity election share,plan_config.json:benefit.retire_refund_ratio,optional,,,,,,,,
benefit,cola_block,COLA assumptions by tier and for retirees,plan_config.json:benefit.cola.*,required,,,,,,,,
benefit,cash_balance_block,Cash balance plan parameters,plan_config.json:benefit.cash_balance.*,conditional,,,,,,,,
benefit,dc_block,DC plan parameters,plan_config.json:benefit.dc.*,conditional,,,,,,,,
plan_structure,classes,List of membership classes,plan_config.json:classes,required,,,,,,,,
plan_structure,class_groups,Grouping of classes for outputs,plan_config.json:class_groups,required,,,runtime-only,,,,,
plan_structure,tiers,Tier definitions (eligibility/FAS/reduction),plan_config.json:tiers,required,,,,,,,,
plan_structure,benefit_multipliers,Benefit multipliers by class and tier,plan_config.json:benefit_multipliers,required,,,,,,,,
plan_structure,plan_design,Default mix of DB/CB/DC for new entrants,plan_config.json:plan_design,required,,,,,,,,
funding_policy,policy,Funding policy mode (statutory/actuarial),plan_config.json:funding.policy,required,,,,,,,,
funding_policy,amo_method,Amortization method (level_pct/level_dollar),plan_config.json:funding.amo_method,required,,,,,,,,
funding_policy,amo_period_new,Amortization period for new layers,plan_config.json:funding.amo_period_new,required,,,,,,,,
funding_policy,amo_period_current,Remaining period for current layer,plan_config.json:funding.amo_period_current,required,,,,,,,,
funding_policy,amo_pay_growth,Payroll growth used in amortization,plan_config.json:funding.amo_pay_growth,required,,,,,,,,
funding_policy,funding_lag,Years between valuation and contribution effective date,plan_config.json:funding.funding_lag,required,,,,,,,,
funding_policy,ava_smoothing_method,Asset smoothing method,plan_config.json:funding.ava_smoothing.method,required,,,,,,,,
funding_policy,ava_smoothing_recognition_period,Years over which gains/losses are recognized,plan_config.json:funding.ava_smoothing.recognition_period,required,,,,,,,,
funding_policy,statutory_ee_rate_schedule,Statutory employee contribution rate schedule,plan_config.json:funding.statutory_rates.ee_rate_schedule,conditional,,,,,,,,
funding_policy,statutory_er_rate_components,Statutory employer rate components,plan_config.json:funding.statutory_rates.er_rate_components,conditional,,,,,,,,
valuation_inputs,ben_payment,Annual benefit payments at valuation date,plan_config.json:valuation_inputs.{class}.ben_payment,required,,,,,,,,
valuation_inputs,retiree_pop,Retiree headcount at valuation date,plan_config.json:valuation_inputs.{class}.retiree_pop,required,,,,,,,,
valuation_inputs,total_active_member,Active headcount at valuation date,plan_config.json:valuation_inputs.{class}.total_active_member,required,,,,,,,,
valuation_inputs,val_norm_cost,Valuation normal cost rate,plan_config.json:valuation_inputs.{class}.val_norm_cost,required,,,,,,,,
valuation_inputs,val_aal,Valuation AAL,plan_config.json:valuation_inputs.{class}.val_aal,required,,,,,,,,
valuation_inputs,val_payroll,Valuation payroll,plan_config.json:valuation_inputs.{class}.val_payroll,optional,,,,,,,,
valuation_inputs,er_dc_cont_rate,Employer DC contribution rate,plan_config.json:valuation_inputs.{class}.er_dc_cont_rate,conditional,,,,,,,,
valuation_inputs,headcount_group,Class grouping for headcount aggregation,plan_config.json:valuation_inputs.{class}.headcount_group,optional,,,runtime-only,,,,,
funding_year0,year,Valuation year stamp,data/funding/init_funding.csv:year,required,,,,,,,,
funding_year0,total_payroll,Year-0 total covered payroll,data/funding/init_funding.csv:total_payroll,required,,,,,,,,
funding_year0,admin_exp_rate,Administrative expense rate,data/funding/init_funding.csv:admin_exp_rate,required,,,,,,,,
funding_year0,total_aal,Year-0 total AAL,data/funding/init_funding.csv:total_aal,required,,,,,,,,
funding_year0,aal_legacy,Year-0 AAL for legacy members,data/funding/init_funding.csv:aal_legacy,required,,,,,,,,
funding_year0,aal_new,Year-0 AAL for new-tier members,data/funding/init_funding.csv:aal_new,conditional,,,,,,,,
funding_year0,total_ava,Year-0 total actuarial value of assets,data/funding/init_funding.csv:total_ava,required,,,,,,,,
funding_year0,ava_legacy,Year-0 AVA for legacy members,data/funding/init_funding.csv:ava_legacy,required,,,,,,,,
funding_year0,ava_new,Year-0 AVA for new-tier members,data/funding/init_funding.csv:ava_new,conditional,,,,,,,,
funding_year0,total_mva,Year-0 total market value of assets,data/funding/init_funding.csv:total_mva,required,,,,,,,,
funding_year0,mva_legacy,Year-0 MVA for legacy members,data/funding/init_funding.csv:mva_legacy,required,,,,,,,,
funding_year0,mva_new,Year-0 MVA for new-tier members,data/funding/init_funding.csv:mva_new,conditional,,,,,,,,
funding_year0,defer_y1_legacy,Asset gain/loss deferral bucket year 1 (legacy),data/funding/init_funding.csv:defer_y1_legacy,required,,,,,,,,
funding_year0,defer_y2_legacy,Asset gain/loss deferral bucket year 2 (legacy),data/funding/init_funding.csv:defer_y2_legacy,required,,,,,,,,
funding_year0,defer_y3_legacy,Asset gain/loss deferral bucket year 3 (legacy),data/funding/init_funding.csv:defer_y3_legacy,required,,,,,,,,
funding_year0,defer_y4_legacy,Asset gain/loss deferral bucket year 4 (legacy),data/funding/init_funding.csv:defer_y4_legacy,required,,,,,,,,
funding_year0,defer_y1_new,Asset gain/loss deferral bucket year 1 (new),data/funding/init_funding.csv:defer_y1_new,conditional,,,,,,,,
funding_year0,defer_y2_new,Asset gain/loss deferral bucket year 2 (new),data/funding/init_funding.csv:defer_y2_new,conditional,,,,,,,,
funding_year0,defer_y3_new,Asset gain/loss deferral bucket year 3 (new),data/funding/init_funding.csv:defer_y3_new,conditional,,,,,,,,
funding_year0,defer_y4_new,Asset gain/loss deferral bucket year 4 (new),data/funding/init_funding.csv:defer_y4_new,conditional,,,,,,,,
calibration,cal_factor,Top-level calibration scalar,calibration.json:cal_factor,required,,,computed,,,,,
calibration,nc_cal,Per-class normal cost calibration multiplier,calibration.json:classes.{class}.nc_cal,required,,,computed,,,,,
calibration,pvfb_term_current,Per-class current term-vested PVFB plug,calibration.json:classes.{class}.pvfb_term_current,required,,,computed,,,,,
term_vested,avg_deferral_years,Average years from current age to assumed payout age,plan_config.json:term_vested.avg_deferral_years,required,,,,,,,,
term_vested,avg_payout_years,Average payout duration once payments begin,plan_config.json:term_vested.avg_payout_years,required,,,,,,,,
term_vested,method,Term-vested cashflow method identifier,plan_config.json:term_vested.method,required,,,runtime-only,,,,,
demographics,active_headcount,Active members by age and YOS,data/demographics/{class}_headcount.csv,required,,,,,,,,
demographics,active_salary,Active salary by age and YOS,data/demographics/{class}_salary.csv,required,,,,,,,,
demographics,salary_growth,Salary growth assumption by age or YOS,data/demographics/salary_growth.csv,required,,,,,,,,
demographics,retiree_distribution,Retiree count and benefit by age (and class),data/demographics/retiree_distribution.csv,required,,,,,,,,
demographics,entrant_profile,New entrant age/salary distribution,data/demographics/entrant_profile.csv,optional,,,,,,,,
decrements,termination_rates,Termination rates table,data/decrements/{class}_termination_rates.csv,required,,,,,,,,
decrements,retirement_rates,Retirement rates table,data/decrements/{class}_retirement_rates.csv,required,,,,,,,,
decrements,reduction_gft,Early-retirement reduction table (grandfathered),data/decrements/reduction_gft.csv,conditional,,,,,,,,
decrements,reduction_others,Early-retirement reduction table (non-grandfathered),data/decrements/reduction_others.csv,conditional,,,,,,,,
mortality,mortality_base_table_name,Named base mortality table,plan_config.json:mortality.base_table,required,,,,,,,,
mortality,mortality_improvement_scale_name,Named improvement scale,plan_config.json:mortality.improvement_scale,required,,,,,,,,
mortality,male_mp_forward_shift,Male age set-forward applied at runtime,plan_config.json:modeling.male_mp_forward_shift,optional,,,,,,,,
mortality,base_rates,Base mortality rates by age and gender,data/mortality/base_rates.csv,required,,,,,,,,
mortality,improvement_scale,Mortality improvement rates by age/year/gender,data/mortality/improvement_scale.csv,required,,,,,,,,
funding_data,return_scenarios,Investment return scenarios,data/funding/return_scenarios.csv,required,,,runtime-only,,,,,
funding_data,current_term_vested_cashflow,Estimated payment stream for current term-vested members,data/funding/current_term_vested_cashflow.csv,required,,,computed,,,,,
funding_data,amort_layers,Amortization layer schedule,data/funding/amort_layers.csv,conditional,,,,,,,,
modeling,entrant_salary_at_start_year,Anchor entrant profile salary at start_year,plan_config.json:modeling.entrant_salary_at_start_year,optional,,,runtime-only,,,,,
modeling,use_earliest_retire,Use earliest eligible retirement age path,plan_config.json:modeling.use_earliest_retire,optional,,,runtime-only,,,,,
